S/N,LGA,TOWN/WARDS,FOOD,CLOTHING,DANCE,RELIGION,FESTIVALS,MUSIC/INSTRUMENTS,LANGUAGE,DIALECT,GIS LOCATION,LEADERSHIP
182,Yewa South,Ajilete,"Yam, cassava staples",Traditional attire,Gelede/Bolojo dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°38′39″ N 3°3′42″ N,Oba Alale
183,Yewa South,Ilobi,"Yam, cassava staples",Traditional attire,Local dances and masquerades,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Anago,6°41′24″ N 3°4′12″ N,Oba Onilobi
184,Yewa South,Olute,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°43′12″ N 3°1′12″ N,Oba Olu
185,Yewa South,Iweke,"Yam, cassava staples",Traditional attire,Local dances and masquerades,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°43′48″ N 3°1′48″ N,Baale
186,Yewa South,Ipaja,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°42′0″ N 3°0′36″ N,"Oba, Chiefs"
187,Yewa South,Itolu,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°42′36″ N 3°1′30″ N,Oba
188,Yewa South,Eredo,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°41′42″ N 3°0′54″ N,Oba Olu
189,Yewa South,Abule Olopa,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°42′18″ N 3°0′18″ N,"Oba, Baale"
190,Yewa South,Idologun,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°42′54″ N 3°0′36″ N,"Oba, Baale"
191,Yewa South,Pahayi,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°43′30″ N 3°1′12″ N,Baale
192,Yewa South,Fagbohun,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°44′6″ N 3°1′30″ N,Baale
193,Yewa South,Olokuta,"Yam, cassava staples",Traditional attire,Local dances,"Christianity, Islam, Traditional religion",Participates in LGA festivals,Traditional drumming,"Yoruba
",Yewa,6°44′42″ N 3°1′48″ N,Baale
194,Remo North,ISARA,"Oka-Elewa, Ifoko, Eberipo","Gele, Aso oke, ipele, Agbada, buba and Sokoto,",Masqurade Dance and Traditional Yoruba dances,"Majority christians and Muslims, Egungun, Oro and Agemo","Oro festivals, Egungun festivals, Agemo fesitvals ","Juju Music,Fuji Music ","Yoruba
",Isara, 7.0029° N 3.7286° E,Oba Odemo
195,Remo North,ODE-REMO,Ebiripo and various casava based meals such as garri and Fufu,"Gele, Aso oke, ipele, Agbada, buba and Sokoto,",Traditional Yoruba Dances ,"Mix of Islam, Christianity and Traditional Religions ","Participation in the Remo Day Festival, Egungun Festival , Oro Festivals","Juju Music,Fuji Music ","Yoruba
",Remo,7.0029° N 3.7286° E,Oba Alaye
196,Remo North,ILARA,"Oka-Elewa, Ifoko, Eberipo","Buba and Sokoto. Agbada, Gele and Aso oke ","Gnuko , Egungun and Other Traditional Dance","Traditional Religion, Christianity and Islam ","Gnuko, Orisa, Apepe, Olode, Basegun, Balofon Festivals","Juju Music, Fuji Music ","Yoruba
",Remo,7.0029° N 3.7286° E,Oba Alara
197,Remo North,AKAKA ,"Eba, Fufu, Iyan, Ebiripo and ikokore ","Gele, Aso oke, ipele, Agbada, buba and Sokoto,","Gnuko , Egungun and Other Traditional Dance","Traditional Religion, Christianity and Islam ","Gnuko, Orisa, Apepe, Olode, Basegun, Balofon Festivals","Juju Music, Fuji Music ","Yoruba
",Remo,7.0029° N 3.7286° E,Oba Owowo
198,Remo North,IPARA,Ebiripo and various casava based meals such as garri and Fufu,"Buba and Sokoto. Agbada, Gele and Aso oke ",Traditional Yoruba Dances ,"Mix of Islam, Christianity and Traditional Religions ","Participation in the Remo Day Festival, Egungun Festival , Oro Festivals","Juju Music, Fuji Music ","Yoruba
",Remo,7.0029° N 3.7286° E,Oba Onipara
199,Remo North,ORILE-OKO,"Garri, fufu, starch","Buba and Sokoto. Agbada, Gele and Aso oke ",Traditional Yoruba Dances ,"Majority christians and Muslims, Egungun, Oro and Agemo","Participation in the Remo Day Festival, Egungun Festival , Oro Festivals","Juju Music,Fuji Music ","Yoruba
",Remo,7.0029° N 3.7286° E,Oba Oloko
200,IJEBU-EAST,ITELE IJEBU,"Ikokore, Egusi Ijebu, Eba, Fufu, Starch . ","Gele, Buba, Iro, Ipele, Iborun",Traditional Yoruba Dances ,"Traditional worship is prevalent, alongside Islam and Christianity in the region.","Itele Day, Ojude Oba, Gborowo","Juju, Fuji, Apala, Sakara music ","Yoruba
",Ijebu,"6.7333° N, 4.1667° E",Oba Moyegeso
201,IJEBU-EAST,IJEBU IFE,"Egusi ijebu, ikokore, Eba, Fufu, Starch","Gele, Buba, Iro, Ipele, Iborun",Traditional Yoruba Dances ,"Mix of Islam, Christanity and Traditional Religions","Agemo, Ebi , Ojude oba ","Juju, Fuji, Apala, Sakara music ","Yoruba
",Ijebu,"6.7333° N, 4.1667° E",Oba Ajalorun
202,IJEBU-EAST,IMOBI,"Eba, Fufu, Starch, ikokore","Gele, Buba, Iro, Ipele, Iborun",Traditional Yoruba Dances ,"Traditional worship is prevalent, alongside Islam and Christianity in the region.","Ojude Oba,Aje, Agemo Festival  ","Juju, Fuji, Apala, Sakara music ","Yoruba
",Ijebu,"6.7333° N, 4.1667° E",Oba Olu
203,IJEBU-EAST,IJEBU IMUSHIN,"Ikokore, Egusi Ijebu, Eba, Fufu, Starch . ","Gele, Buba, Iro, Ipele, Iborun",Traditional Yoruba Dances ,"Traditional Religion, Christanity and Islam","Ojafedego, Agemo, Oro, Ojude Oba, Oro, Leguru","Juju, Fuji, Apala, Sakara music ","Yoruba
",Ijebu,"6.7333° N, 4.1667° E",Oba Ajalorun
204,IJEBU-EAST,OGBERE,"Fufu, Eba, Starch, ikokore, Egusi Ijebu","Buba and Sokoto, Ipele, iborun, Gele ",Traditional Yoruba Dances ,"Mix of Islam, Christanity and Traditional Religions","Ojude Oba, Oro, Egungun.   ","Juju, Fuji, Apala, Sakara music ","Yoruba
",Ijebu,"6.7333° N, 4.1667° E",Oba Sapenuwa
205,Ifo,Ifo,"Yoruba staples (amala, gbegiri, ewedu); local cassava dishes","Yoruba attire - agbada, buba/iro, gele; modern western wear","Bata, Atilogbo/Bata variants, social dances at weddings","Christianity, Islam, Traditional beliefs","Egungun, community harvest/market festivals (local variants)","Bata drumming, Fuji, Juju (regional)","Yoruba
",Egba,"6.8149° N, 3.19518° E",Traditional chiefs/Baales and town council; LGA chairman (modern government)
206,Ifo,Agbado,Yoruba staples; local street foods,Traditional Yoruba & modern clothing,Local festival dances; bata drumming,"Christianity, Islam, Traditional",Egungun and market day festivals,"Local drumming, gospel, fuji","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale / community head
207,Ifo,Akute (Ajuwon),"Amala, eba, local soups",Yoruba traditional attire; Aso-ebi for events,"Bata, popular social dances at weddings","Christianity, Islam, Traditional",Egungun; community day events,"Juju, Fuji, praise-singing","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale / Oba in some quarters
208,Ifo,Ibogun,"Cassava-based foods, soups",Traditional Yoruba dress; practical work wear,"Folk dances, bata influences","Christianity, Islam, Traditional",Local harvest and Egungun festivals,"Local drumming, praise music","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale/compound heads
209,Ifo,Ibaragun,Yoruba soups and pottages,Yoruba traditional & western wear,"Community dances, Bata","Christianity, Islam, Traditional","Community/market festivals, Egungun","Local drumming, contemporary gospel","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale / local chiefs
210,Ifo,Lemode,"Street foods, local staples",Traditional Yoruba garments; aso-ebi for events,"Festival dances, social dancing","Christianity, Islam, Traditional","Egungun, town day events","Fuji, Juju, gospel","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale / community head
211,Ifo,Itoki,"Staple soups, local delicacies",Yoruba attire; practical clothing for farmers,Ritual and social dances,"Christianity, Islam, Traditional","Harvest-related festivals, Egungun","Drumming, praise singers","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
212,Ifo,Mapara,Local soups and staples,Traditional Yoruba dress,Community dances,"Christianity, Islam, Traditional",Market/harvest festivals,Local drumming,"Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
213,Ifo,Adiyan,Common Yoruba cuisine,Yoruba clothing; occasional modern fashion,Traditional dances at ceremonies,"Christianity, Islam, Traditional",Egungun and local events,"Bata drumming, gospel","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
214,Ifo,Matogun,"Cassava, yam dishes",Traditional Yoruba dress,Local festival dances,"Christianity, Islam, Traditional","Egungun, local festivals","Local drumming, popular Nigerian genres","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
215,Ifo,Abule Ekun,"Street foods, local staples",Yoruba attire,Community dances,"Christianity, Islam, Traditional",Market/communal festivals,Local drumming,"Yoruba
","Egba, Awori","6.8149° N, 3.19518° E",Baale
216,Ifo,Orile Ifo,Yoruba soups and staples,Traditional garments; event dress,Dance at festivals and weddings,"Christianity, Islam, Traditional","Egungun, community day","Bata drumming, popular music","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale/Oba depending on quarter
217,Ifo,Coker Ilepa,Local staples and street food,Yoruba traditional clothing,Local social dances,"Christianity, Islam, Traditional",Local festivals,Local drumming,"Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
218,Ifo,Robiyan,Local soups and staples,Traditional Yoruba attire,Community dances,"Christianity, Islam, Traditional",Egungun/local festivals,"Local drumming, praise music","Yoruba
",Egba,"6.8149° N, 3.19518° E",Baale
219,Obafemi Owode,Owode (Owode-Egba),Yoruba staples; local produce markets,"Yoruba dress, aso-ebi; modern wear","Egungun, Bata and community dances","Christianity, Islam, Traditional (Egba subculture)","Egungun, town-specific festivals","Bata drumming, Juju, Fuji, gospel","Yoruba
",Egba,"6.9500 N, 3.5000 E",Baales and Obas (where applicable); traditional chiefs
220,Obafemi Owode,Ibafo,"Ofada rice (nearby Ofada area), local soups, yam",Yoruba clothing; modern business attire,Festival dances; Bata,"Christianity, Islam, Traditional",Market and community festivals; Egungun,"Local drumming, contemporary genres","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale / traditional council
221,Obafemi Owode,Iro,Local Yoruba staples,Traditional Yoruba attire,Traditional dances; Egungun,"Predominantly Christian, Islam, Traditional",Community festivals; chieftaincy celebrations,"Drumming, praise-singing","Yoruba
",Egba,"6.9000 N, 3.5333 E",Oba (historical) / traditional ruler (unique exceptions)
222,Obafemi Owode,Magboro,Local staples; market produce,Yoruba & modern clothing,Social and festival dances,"Christianity, Islam, Traditional",Town day; Egungun activities,"Local drumming, popular Nigerian genres","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
223,Obafemi Owode,Oba,Yoruba cuisine; local staples,Traditional Yoruba attire,"Festival dances, Egungun","Christianity, Islam, Traditional","Egungun, local festivals","Drumming, juju","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale / local chiefs
224,Obafemi Owode,Ofada,"Ofada rice (noted local specialty), yam dishes, native soups",Yoruba traditional attire; farm wear,Harvest and festival dances,"Christianity, Islam, Traditional",Ofada-related market and crop festivals,"Local drumming, folk songs","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
225,Obafemi Owode,Mowe,Yoruba staples; roadside foods for commuters,Mix of traditional and modern (due to commuter population),"Social dances at events, Bata elements","Christianity, Islam, Traditional","Town day, Egungun","Popular music, local drumming","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale / community leaders
226,Obafemi Owode,Kajola,Local staple dishes,Traditional Yoruba clothing,Local community dances,"Christianity, Islam, Traditional",Community festivals,Local drumming,"Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
227,Obafemi Owode,Mokoloki,Yoruba staples,Traditional wear,Community/festival dances,"Christianity, Islam, Traditional",Egungun and local events,Local drumming,"Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
228,Obafemi Owode,Ijoko,Local and commuter foods,Traditional & contemporary clothing,Social dances at ceremonies,"Christianity, Islam, Traditional",Market and town festivals,"Contemporary Nigerian music, local drumming","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
229,Obafemi Owode,Imedu,Local staples and soups,Traditional Yoruba clothing,Local festival dances,"Christianity, Islam, Traditional",Community festivals,"Drumming, folk music","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
230,Obafemi Owode,Mosafejo,Local dishes,Traditional Yoruba attire,Local dances,"Christianity, Islam, Traditional",Local festivals,Local drumming,"Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
231,Obafemi Owode,Ogunmakin,Local staples; farm produce,Traditional dress,Agricultural/festival dances,"Christianity, Islam, Traditional","Harvest festivals, Egungun","Drumming, folk songs","Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
232,Obafemi Owode,Ajebo,Yoruba staples,Traditional attire,Community festival dances,"Christianity, Islam, Traditional",Local festivals,Local drumming,"Yoruba
",Egba,"6.9000 N, 3.5333 E",Baale
233,Sagamu,Makun,Ikokore (Water Yam Pottage),"Iro/Buba, Aso-oke","Yoruba Ceremonial, Social","Islam, Christianity, Traditional",Remo Day,Gbedu (Royal Drumming),"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Ewusi
234,Sagamu,Offin,"Ikokore, Yam, Cassava","Iro/Buba, Aso-oke","Royal Ceremonial, Gbedu Dance","Islam, Christianity, Traditional",Remo Day,Gbedu (Royal Music),"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Akarigbo
235,Sagamu,Sonyinda,"Ikokore, Staples","Iro/Buba, Gele",Yoruba Social Dance,"Islam, Christianity",Remo Day,Gbedu,"Yoruba
",Remo," 6°50′N, 3°39′E",Chief
236,Sagamu,Epe,"Ikokore, Rice",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Folklore Music,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Oloja
237,Sagamu,Ibido,"Ikokore, Yam",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Folklore Music,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Negbuwa
238,Sagamu,Igbepa,"Ikokore, Cassava",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Chief (Olori-Ilu)
239,Sagamu,Ado,"Ikokore, Corn",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Alado
240,Sagamu,Oko,"Ikokore, Amala",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Aminisan
241,Sagamu,Ipoji,"Ikokore, Staples",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Chief (Olori-Ilu)
242,Sagamu,Batoro,"Ikokore, Eba",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Lowa Ibu
243,Sagamu,Ijoku,"Ikokore, Staples",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Oba Oloku
244,Sagamu,Ijagba,"Ikokore, Staples",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Chief
245,Sagamu,Latawa,"Ikokore, Staples",Iro/Buba,Yoruba Social Dance,"Islam, Christianity",Remo Day,Yoruba Traditional,"Yoruba
",Remo," 6°50′N, 3°39′E",Chief (Olori-Ilu)
246,Ikenne,Iperu,"Ikokore, Kola Nut, Cocoa","Iro/Buba, Aso-oke",Eyo-influenced Dance,"Islam, Christianity, Traditional","Eyo Festival, Remo Day","Gbedu, Fuji","Yoruba
",Remo,"6°52′N, 3°43′E",Oba
247,Ikenne,Ilisan,"Ikokore, Staples, Vegetables",Iro/Buba,Traditional Yoruba,"Islam, Christianity",Remo Day,Traditional Yoruba,"Yoruba
",Remo,"6°52′N, 3°43′E",Oba
248,Ikenne,Ogere,"Ikokore, Rice, Kola Nut",Iro/Buba,Traditional Yoruba,"Islam, Christianity, Traditional",Remo Day,Traditional Yoruba,"Yoruba
",Remo,"6°52′N, 3°43′E",Oba Ologere
249,Ikenne,Irolu,"Ikokore, Staples",Iro/Buba,Traditional Yoruba,"Islam, Christianity",Remo Day,Traditional Yoruba,"Yoruba
",Remo,"6°52′N, 3°43′E",Oba
250,Ikenne,Ikenne,"Ikokore, Staples","Iro/Buba, Aso-oke",Traditional Yoruba,"Islam, Christianity",Remo Day,Traditional Yoruba,"Yoruba
",Remo,"6°52′N, 3°43′E",Oba
251,Yewa North,IDOFI,"Iyan,Amala,Eba and Garri,Rice,Egbo,","Iro and Buba,As-oke,Adire,Komole,Agbada,Buba and Sokoto,Fila","Bologo dance,Gelede dance,Egungun dance,Bata dance",Islam and Christianity,"Isese Day,Egungun,Gelede","Bologo music,Oriki","Yoruba
",Yewa,"7°09′N,2°55′E",Baale
252,Yewa North,SUNWA,"Imoyo,Ewa Agoyin,Ofada Rice, Obe-ata-iru,Efo Riro","Iro and buba,Gele,Dansiki,Buba and Sokoto",Bologo dance,Islam and Christianity,"Isese Day,Egungun,Gelede","Bologo,Oriki,kulumbu,Agasa","Yoruba
",Yewa,"7°09′N,2°55′E",Oba
253,Yewa North,IJOUN,"Amala and ewedu soup,Eba,Amala,Iyan,Aadun,Abula,Dundun","Aso-oke,Ankara","Bologo dance,Gelede dance,Egungun dance",Islam and Christianity,"Isese Day,Egungun,Gelede","Ajangbode,Ajasa","Yoruba
",Yewa,"7°09′N,2°55′E",Oba Onijoun
254,Yewa North,EGGUA,"Pupuru,Efo Riro,Ewa Agoyin,Amala,Eba,Fufu,Asaro,Ekuru","Aso-oke,Ankara,Lace","Bologo,Egungun,Gelede",Islam and Christianity,"Egungun festival,Gelede,Isese Day","Kulumbu,Oriki,Ponse","Yoruba
",Ketu,"7°09′N,2°55′E",Oba
255,Yewa North,OHUNBE,"Eba,Fufu,Pounded yam,Dodo,Ogbono,Asun,Akara","Aso-oke,Ankara,Lace","Bologo,Bata,Egungun",Islam and Christianity,"Egungun festival,Gelede,Isese","Juju music,Apala music","Yoruba
",Yewa,"7°09′N,2°55′E",Oba
256,Yewa North,IGBOGILA/IBESE,"Amala,Iyan,Gbegiri,Ewa Agoyin","Aso-oke,Ankara,Lace","Bologo,Bata,Gelede",Islam and Christianity,Isese Day,"Juju music,Apala music,Fuji music","Yoruba
",Yewa,"7°09′N,2°55′E",Oba Olu
257,Yewa North,JOGA-ORILE/IBOORO,"Kokoro,Swallow foods,Ewa","Aso-oke,Ankara,Lace","Bologo,Bata,Egungun",Islam and Christianity,Egungun festival,"Apala music,Juju music,Fuji music","Yoruba
",Yewa,"7°09′N,2°55′E","Oba Abepa, Oba Aboro"
258,Yewa North,IMMASAYI,"Amala,Iyan,Imoyo,Dundun,Ewa agoyin","Aso-oke,Ankara,Lace","Bologo,Egungun,Bata",Islam and Christianity,Egungun festival,"Juju,Apala,Ajasa","Yoruba
",Yewa,"7°09′N,2°55′E",Oba
259,Yewa North,SAWONJO,"Amala,Iyan,Eba","Aso-oke,Ankara,Lace","Bologo,Bata,Egungun,Gelede",Islam and Christianity,Isese Day,"Apala,Fuji,Juju","Yoruba
",Yewa,"7°09′N,2°55′E",Oba Olu
260,Yewa North,OJA-ODAN,"Amala,Iyan,Eba,Asaaro,Lafun","Aso-oke,Ankara,Lace","Bata,Bologo,Egungun",Islam and Christianity,"Egungun,Isese,Gelede","Fuji music,Apala","Yoruba
",Anago,"7°09′N,2°55′E",Oba
261,Yewa North,KETU,"Akple,Yam,Yaka Yake","Aso-oke,Ankara,Lace","Bologo,Egungun,Bata",Islam and Christianity,"Isese,Gelede,Egunugu",Bologo music,"Yoruba
",Ketu,"7°09′N,2°55′E",Oba Alaketu
262,Imeko Afon,AFON,"Maize,Cassava,Yam","Iro and buba,Gele,Dansiki,Buba and Sokoto","Iwe cultural dance,Gelede dance,Bologo dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
","Ketu, Yewa","7.633°N,2.867°E",Oba Obaladi
263,Imeko Afon,ILLARA,"Maize,Cassava,Yam","Aso-oke,Ankara,Lace","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Oloola
264,Imeko Afon,ALAGBE,"Maize,Cassava,Yam","Iro and buba,Gele,Dansiki,Buba and Sokoto","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Alagbe
265,Imeko Afon,IDOFA,"Maize,Cassava,Yam","Iro and Buba,As-oke,Adire,Komole,Agbada,Buba and Sokoto,Fila","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Onidofa
266,Imeko Afon,IWOYE,"Maize,Cassava,Yam","Iro and buba,Gele,Dansiki,Buba and Sokoto","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Ooye
267,Imeko Afon,OKE-AGBEDE,"Maize,Cassava,Yam","Iro and Buba,As-oke,Adire,Komole,Agbada,Buba and Sokoto,Fila","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Alagbede
268,Imeko Afon,MORIWI,"Maize,Cassava,Yam","Aso-oke,Ankara,Lace","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba Alale
269,Imeko Afon,ATAPELE,"Maize,Cassava,Yam","Iro and buba,Gele,Dansiki,Buba and Sokoto","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
",Ketu,"7.633°N,2.867°E",Oba
270,Imeko Afon, OBADA,"Maize,Cassava,Yam","Aso-oke,Ankara,Lace","Egungun dance,Bologo dance,Gelede dance",Christianity and Islam,"Agbinrekoti,Celestial city Convocation","Apala,Fuji,and Traditional folk music","Yoruba
","Ketu, Ohori, Egun","7.633°N,2.867°E",Oba Olobada
